"","Year","Historical_Data","Worst","Medium","Best","Fit"
"1",1980,2.529789551,NA,NA,NA,2.53083515071461
"2",1981,2.531606632,NA,NA,NA,2.53126257789608
"3",1982,2.533314398,NA,NA,NA,2.53240358113882
"4",1983,2.535332103,NA,NA,NA,2.53371472689693
"5",1984,2.537290067,NA,NA,NA,2.53614424991771
"6",1985,2.539126303,NA,NA,NA,2.53847449725414
"7",1986,2.540817313,NA,NA,NA,2.54087209319946
"8",1987,2.543024485,NA,NA,NA,2.54316860030508
"9",1988,2.545999456,NA,NA,NA,2.54579798945723
"10",1989,2.547860818,NA,NA,NA,2.54802614758108
"11",1990,2.549432437,NA,NA,NA,2.54972285063843
"12",1991,2.550925112,NA,NA,NA,2.5516282219094
"13",1992,2.551913323,NA,NA,NA,2.55288384479133
"14",1993,2.552753364,NA,NA,NA,2.55436953851592
"15",1994,2.554876642,NA,NA,NA,2.55632844295698
"16",1995,2.557266529,NA,NA,NA,2.55834967058738
"17",1996,2.559415822,NA,NA,NA,2.56041449700294
"18",1997,2.560755242,NA,NA,NA,2.56224902453603
"19",1998,2.564251689,NA,NA,NA,2.56383062488144
"20",1999,2.566237093,NA,NA,NA,2.56515426772902
"21",2000,2.567637949,NA,NA,NA,2.56721297985581
"22",2001,2.569526062,NA,NA,NA,2.56927206159258
"23",2002,2.571964909,NA,NA,NA,2.57092832273792
"24",2003,2.574922105,NA,NA,NA,2.5739489739447
"25",2004,2.576905451,NA,NA,NA,2.57681972211807
"26",2005,2.57955496,NA,NA,NA,2.57934962090887
"27",2006,2.581949658,NA,NA,NA,2.58185761057422
"28",2007,2.584059705,NA,NA,NA,2.58393049142525
"29",2008,2.586125762,NA,NA,NA,2.58614808638813
"30",2009,2.588125984,NA,NA,NA,2.58747787284733
"31",2010,2.590897539,NA,NA,NA,2.59053102244783
"32",2011,2.592875953,NA,NA,NA,2.59310269935425
"33",2012,2.595297768,NA,NA,NA,2.59537049566904
"34",2013,2.598221285,NA,NA,NA,2.59856207036723
"35",2014,2.60054819,NA,NA,NA,2.60090021473572
"36",2015,2.602960219,NA,NA,NA,2.60251903512303
"37",2016,NA,2.60475329046002,2.60419637219782,2.60345497172847,NA
"38",2017,NA,2.60658670938312,2.60610003194177,2.60584967890222,NA
"39",2018,NA,2.60833299494383,2.60788095674412,2.60721686117629,NA
"40",2019,NA,2.60987146755126,2.60948312458123,2.6090074542174,NA
"41",2020,NA,2.61066551904423,2.6100948519578,2.60944987256064,NA
"42",2021,NA,2.61123293281937,2.6105839163957,2.61046127209282,NA
"43",2022,NA,2.61220513538622,2.61172861175728,2.61152492513479,NA
"44",2023,NA,2.61431199960103,2.61371134405844,2.61306736244971,NA
"45",2024,NA,2.6166539491571,2.616309593319,2.6154164031625,NA
"46",2025,NA,2.61862913710784,2.61819259210455,2.61746700479071,NA
"47",2026,NA,2.6217583380029,2.62134328882425,2.62056517166587,NA
"48",2027,NA,2.62236458375549,2.62191691265181,2.62119456914075,NA
"49",2028,NA,2.62425739115111,2.623868075717,2.62304780742986,NA
"50",2029,NA,2.62684305542524,2.62623011553882,2.62576922685102,NA
"51",2030,NA,2.62839619854977,2.62798405311273,2.6277116711172,NA
"52",2031,NA,2.63173570905208,2.63114151035671,2.63098497849733,NA
"53",2032,NA,2.63305617998092,2.63260721434615,2.63172927716489,NA
"54",2033,NA,2.63376210672858,2.63327677941826,2.63250562838214,NA
"55",2034,NA,2.6356659378536,2.6352435564827,2.63484152040787,NA
"56",2035,NA,2.63709148680398,2.63665609629901,2.63631805173872,NA
"57",2036,NA,2.63775918787223,2.63715432476786,2.63642478564327,NA
"58",2037,NA,2.63902927352903,2.63853138271722,2.6383178966708,NA
"59",2038,NA,2.64050271871937,2.63996699581338,2.6398111596743,NA
"60",2039,NA,2.64224780727864,2.64179985516543,2.64149450813796,NA
"61",2040,NA,2.64310185452945,2.64256811552713,2.64231065050072,NA
"62",2041,NA,2.64500653762608,2.64452472334036,2.64418177513186,NA
"63",2042,NA,2.64634694602804,2.64597419562843,2.64522776736854,NA
"64",2043,NA,2.64808325775092,2.64753005547857,2.64707285452355,NA
"65",2044,NA,2.64882690778145,2.64833095432354,2.64778424985902,NA
"66",2045,NA,2.65052712482248,2.65006452477879,2.64955327275466,NA
"67",2046,NA,2.65202448637493,2.65248002479811,2.65221994755654,NA
"68",2047,NA,2.65374554426427,2.65386842761041,2.65370385190543,NA
"69",2048,NA,2.65570864844139,2.65521625328226,2.65501015119931,NA
"70",2049,NA,2.65741129236461,2.65739469349687,2.65601263543332,NA
"71",2050,NA,2.65884809673655,2.65616975270386,2.65579058369807,NA
"72",2051,NA,2.66030184295474,2.65795748340413,2.65652076592452,NA
"73",2052,NA,2.66142256773785,2.65870032241202,2.65703751167025,NA
"74",2053,NA,2.66280403325213,2.658382679058,2.65721445197245,NA
"75",2054,NA,2.66389274334566,2.66001896191422,2.65769818168668,NA
"76",2055,NA,2.66459911129716,2.65992827967312,2.65850747753005,NA
"77",2056,NA,2.6662136358666,2.66038039669577,2.65919645204294,NA
"78",2057,NA,2.6669472018781,2.66189724611851,2.66019594415416,NA
"79",2058,NA,2.6675936345272,2.6623133836206,2.6608249731276,NA
"80",2059,NA,2.66803225422302,2.66364204130092,2.661034035734,NA
"81",2060,NA,2.66772645280438,2.6642287414388,2.66134417540174,NA
"82",2061,NA,2.66719401366791,2.66446501651144,2.66164252408039,NA
"83",2062,NA,2.66706636332316,2.66576453859872,2.66186931675073,NA
"84",2063,NA,2.66807337462637,2.66549764877176,2.66279122481181,NA
"85",2064,NA,2.66931547127083,2.6671482351239,2.66345736782118,NA
"86",2065,NA,2.67019080630996,2.66775698954865,2.66401880794114,NA
"87",2066,NA,2.67169654369723,2.66820243019879,2.66437629432746,NA
"88",2067,NA,2.67235060994389,2.6683656319217,2.66482393449004,NA
"89",2068,NA,2.67260615674927,2.66953828021649,2.6654451336855,NA
"90",2069,NA,2.67322765250176,2.67013026579106,2.66638294295505,NA
"91",2070,NA,2.67427849823916,2.670775067813,2.66689238111027,NA
"92",2071,NA,2.67466520500416,2.67144296895508,2.66754483119176,NA
"93",2072,NA,2.67545353971328,2.67237361022767,2.66819045927871,NA
"94",2073,NA,2.6767265761149,2.67230165118534,2.66903671152735,NA
"95",2074,NA,2.67650035315739,2.67299449453734,2.66925243239057,NA
"96",2075,NA,2.67805392174961,2.6744800132549,2.66948133602206,NA
"97",2076,NA,2.6788273898902,2.67479572941505,2.67050863097969,NA
"98",2077,NA,2.67887719486891,2.67533404913396,2.67112829694042,NA
"99",2078,NA,2.67970773373305,2.67674690208918,2.6715341893064,NA
"100",2079,NA,2.68107417623098,2.67663340941897,2.67199823438747,NA
"101",2080,NA,2.68113262495718,2.67753335795188,2.67297658581232,NA
"102",2081,NA,2.68186440366882,2.67817323123089,2.67326314514877,NA
"103",2082,NA,2.68269890169971,2.67920988877898,2.67358196732747,NA
"104",2083,NA,2.68313216683856,2.68036059813466,2.67439514929545,NA
"105",2084,NA,2.68453241205506,2.6807356797392,2.67472736379479,NA
"106",2085,NA,2.68520479575334,2.68176856385071,2.67494739839077,NA
"107",2086,NA,2.68538205211013,2.68151487473736,2.67592930744676,NA
"108",2087,NA,2.68639667811423,2.68284049244516,2.67610245624685,NA
"109",2088,NA,2.68765335040611,2.68376576230895,2.67668094244712,NA
"110",2089,NA,2.68864956244408,2.68452377235163,2.67740570497354,NA
"111",2090,NA,2.69078186367576,2.68485195608747,2.67797608153918,NA
"112",2091,NA,2.69223560989395,2.68501334746713,2.67853026114447,NA
"113",2092,NA,2.69335633467706,2.68626159313958,2.67945178511376,NA
"114",2093,NA,2.69473780019134,2.68628458474253,2.68022731999906,NA
"115",2094,NA,2.69582651028487,2.68685850552611,2.68122019516576,NA
"116",2095,NA,2.69653287823637,2.68771523942553,2.68184081085301,NA
"117",2096,NA,2.69814740280581,2.68888403122666,2.68246279044497,NA
"118",2097,NA,2.69888096881731,2.68997098916535,2.68339957488347,NA
"119",2098,NA,2.69952740146641,2.68986938599283,2.68436158528771,NA
"120",2099,NA,2.69996602116223,2.69122037050666,2.684620673914,NA
"121",2100,NA,2.69966021974359,2.69109910691566,2.6848093755905,NA
"122",2101,NA,2.69912778060712,2.69268542801742,2.68556376163418,NA
"123",2102,NA,2.69900013026237,2.69315571880469,2.68637148182698,NA
"124",2103,NA,2.70000714156558,2.69397814074964,2.6871841179058,NA
"125",2104,NA,2.70124923821004,2.6938838442489,2.68758514919752,NA
"126",2105,NA,2.70212457324917,2.69492599684401,2.68843114281719,NA
"127",2106,NA,2.70359659226238,2.69617487607998,2.68889830759684,NA
"128",2107,NA,2.7037881315616,2.69578664141587,2.68913543850374,NA
"129",2108,NA,2.70507511800871,2.69724469855013,2.68954453778298,NA
"130",2109,NA,2.70519338044668,2.69819599640991,2.69030876867438,NA
"131",2110,NA,2.70692385597785,2.69797363232199,2.69129564790892,NA
"132",2111,NA,2.70690338519068,2.69980025125857,2.69228731367518,NA
"133",2112,NA,2.70772556898496,2.70049603976302,2.6930508657624,NA
"134",2113,NA,2.70815508423689,2.70120743731484,2.69404852355699,NA
"135",2114,NA,2.70954634102955,2.70131285869507,2.69442433074855,NA
"136",2115,NA,2.71029418161601,2.70200199653122,2.69482860927013,NA
