"","Year","Population","Forecasting"
"1",1980,4.449048798,NA
"2",1981,4.528234634,NA
"3",1982,4.608962418,NA
"4",1983,4.69155984,NA
"5",1984,4.776392828,NA
"6",1985,4.863601517,NA
"7",1986,4.95337671,NA
"8",1987,5.045315871,NA
"9",1988,5.138214688,NA
"10",1989,5.230452409,NA
"11",1990,5.320816667,NA
"12",1991,5.408908724,NA
"13",1992,5.49489957,NA
"14",1993,5.578865109,NA
"15",1994,5.661086346,NA
"16",1995,5.741822412,NA
"17",1996,5.82101675,NA
"18",1997,5.898688337,NA
"19",1998,5.975303657,NA
"20",1999,6.05147801,NA
"21",2000,6.127700428,NA
"22",2001,6.204147026,NA
"23",2002,6.280853817,NA
"24",2003,6.357991749,NA
"25",2004,6.435705595,NA
"26",2005,6.514094605,NA
"27",2006,6.593227977,NA
"28",2007,6.673105937,NA
"29",2008,6.753649228,NA
"30",2009,6.834721933,NA
"31",2010,6.916183482,NA
"32",2011,6.99799876,NA
"33",2012,7.080072417,NA
"34",2013,7.1818426457443,NA
"35",2014,7.26382715387365,NA
"36",2015,7.345811662003,NA
"37",2016,NA,7.40318114333333
"38",2017,NA,7.48158006166667
"39",2018,NA,7.55997898
"40",2019,NA,7.63837789833333
"41",2020,NA,7.71677681666667
"42",2021,NA,7.795175735
"43",2022,NA,7.87357465333333
"44",2023,NA,7.95197357166667
"45",2024,NA,8.03037249
"46",2025,NA,8.10877140833333
"47",2026,NA,8.18717032666667
"48",2027,NA,8.265569245
"49",2028,NA,8.34396816333333
"50",2029,NA,8.42236708166667
"51",2030,NA,8.500766
"52",2031,NA,8.6232042
"53",2032,NA,8.6844233
"54",2033,NA,8.7456424
"55",2034,NA,8.8068615
"56",2035,NA,8.8680806
"57",2036,NA,8.9292997
"58",2037,NA,8.9905188
"59",2038,NA,9.0517379
"60",2039,NA,9.112957
"61",2040,NA,9.1741761
"62",2041,NA,9.2353952
"63",2042,NA,9.2966143
"64",2043,NA,9.3578334
"65",2044,NA,9.4190525
"66",2045,NA,9.4802716
"67",2046,NA,9.5414907
"68",2047,NA,9.6027098
"69",2048,NA,9.6639289
"70",2049,NA,9.725148
"71",2050,NA,9.725148
"72",2051,NA,9.75551879591837
"73",2052,NA,9.78588959183674
"74",2053,NA,9.8162603877551
"75",2054,NA,9.84663118367347
"76",2055,NA,9.87700197959184
"77",2056,NA,9.9073727755102
"78",2057,NA,9.93774357142857
"79",2058,NA,9.96811436734694
"80",2059,NA,9.99848516326531
"81",2060,NA,10.0288559591837
"82",2061,NA,10.059226755102
"83",2062,NA,10.0895975510204
"84",2063,NA,10.1199683469388
"85",2064,NA,10.1503391428571
"86",2065,NA,10.1807099387755
"87",2066,NA,10.2110807346939
"88",2067,NA,10.2414515306122
"89",2068,NA,10.2718223265306
"90",2069,NA,10.302193122449
"91",2070,NA,10.3325639183673
"92",2071,NA,10.3629347142857
"93",2072,NA,10.3933055102041
"94",2073,NA,10.4236763061224
"95",2074,NA,10.4540471020408
"96",2075,NA,10.4844178979592
"97",2076,NA,10.5147886938776
"98",2077,NA,10.5451594897959
"99",2078,NA,10.5755302857143
"100",2079,NA,10.6059010816327
"101",2080,NA,10.636271877551
"102",2081,NA,10.6666426734694
"103",2082,NA,10.6970134693878
"104",2083,NA,10.7273842653061
"105",2084,NA,10.7577550612245
"106",2085,NA,10.7881258571429
"107",2086,NA,10.8184966530612
"108",2087,NA,10.8488674489796
"109",2088,NA,10.879238244898
"110",2089,NA,10.9096090408163
"111",2090,NA,10.9399798367347
"112",2091,NA,10.9703506326531
"113",2092,NA,11.0007214285714
"114",2093,NA,11.0310922244898
"115",2094,NA,11.0614630204082
"116",2095,NA,11.0918338163265
"117",2096,NA,11.1222046122449
"118",2097,NA,11.1525754081633
"119",2098,NA,11.1829462040816
"120",2099,NA,11.213317
"121",2100,NA,11.2436877959184
"122",2101,NA,11.2740585918367
"123",2102,NA,11.3044293877551
"124",2103,NA,11.3348001836735
"125",2104,NA,11.3651709795918
"126",2105,NA,11.3955417755102
"127",2106,NA,11.4259125714286
"128",2107,NA,11.4562833673469
"129",2108,NA,11.4866541632653
"130",2109,NA,11.5170249591837
"131",2110,NA,11.547395755102
"132",2111,NA,11.5777665510204
"133",2112,NA,11.6081373469388
"134",2113,NA,11.6385081428571
"135",2114,NA,11.6688789387755
"136",2115,NA,11.6992497346939
